Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
ТР ХД 25 4 СТ20 8734,000000000000007405,Труба,915,10270,1027004200,102700420001100,##,##,##,##,##,##,##,##,СТ20,8734,25,##,##,##,##,##,##,##,##,4,##,##
ТР ХД 25 4.5 СТ20 8734,000000000000007406,Труба,915,10270,1027004200,102700420001100,##,##,##,##,##,##,##,##,СТ20,8734,25,##,##,##,##,##,##,##,##,4.5,##,##
ТР ХД 27 НЕКОНД,000000000000007407,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,27,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 27 2 СТ20 8734,000000000000007408,Труба,915,10270,1027004300,102700430001100,##,##,##,##,##,##,##,##,СТ20,8734,27,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 27 2.5 СТ20 8734,000000000000007409,Труба,915,10270,1027004300,102700430001100,##,##,##,##,##,##,##,##,СТ20,8734,27,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 27 3 СТ20 8734,000000000000007410,Труба,915,10270,1027004300,102700430001100,##,##,##,##,##,##,##,##,СТ20,8734,27,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 27 3.2 СТ20 8734,000000000000007411,Труба,915,10270,1027004300,102700430001100,##,##,##,##,##,##,##,##,СТ20,8734,27,##,##,##,##,##,##,##,##,3.2,##,##
ТР ХД 27 3.5 СТ20 8734,000000000000007412,Труба,915,10270,1027004300,102700430001100,##,##,##,##,##,##,##,##,СТ20,8734,27,##,##,##,##,##,##,##,##,3.5,##,##
ТР ХД 27 4 СТ20 8734,000000000000007413,Труба,915,10270,1027004300,102700430001100,##,##,##,##,##,##,##,##,СТ20,8734,27,##,##,##,##,##,##,##,##,4,##,##
ТР ХД 27 7 СТ20 8734,000000000000007414,Труба,915,10270,1027004300,102700430001100,##,##,##,##,##,##,##,##,СТ20,8734,27,##,##,##,##,##,##,##,##,7,##,##
ТР ХД 28 НЕКОНД,000000000000007415,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,28,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 28 2.5 СТ20 8734,000000000000007416,Труба,915,10270,1027004400,102700440001100,##,##,##,##,##,##,##,##,СТ20,8734,28,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 28 3 СТ20 8734,000000000000007417,Труба,915,10270,1027004400,102700440001100,##,##,##,##,##,##,##,##,СТ20,8734,28,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 28 3.5 СТ20 8734,000000000000007418,Труба,915,10270,1027004400,102700440001100,##,##,##,##,##,##,##,##,СТ20,8734,28,##,##,##,##,##,##,##,##,3.5,##,##
